axis_to_label,stratum_state,stratum_key,items,unanimous,majority,tie,disagreement_items,disagreement_rate,avg_confidence
detection,two_one_one,D1D2D3,5,0,4,1,5,1.0,2.667
action,tie22,A3/A4,3,0,2,1,3,1.0,2.667
action,majority,A1/A2,1,0,1,0,1,1.0,2.667
action,majority,A4/A0,1,0,1,0,1,1.0,2.333
action,majority,A4/A5,1,0,1,0,1,1.0,3.0
action,majority,A5/A4,1,0,1,0,1,1.0,3.0
action,unanimous,A0,1,0,1,0,1,1.0,3.0
action,unanimous,A4,1,0,1,0,1,1.0,3.0
detection,majority,D1/D0,1,0,1,0,1,1.0,2.0
detection,majority,D2/D1,1,0,1,0,1,1.0,2.667
detection,majority,D3/D2,1,0,1,0,1,1.0,2.333
detection,unanimous,D1,1,0,0,1,1,1.0,3.0
safety,unanimous,SAFE,1,0,1,0,1,1.0,3.0
detection,tie22,D2/D3,18,2,14,2,16,0.8889,2.648
detection,tie22,D0/D1,9,1,6,2,8,0.8889,2.407
action,two_one_one,A4A5_other,8,1,5,2,7,0.875,2.458
detection,tie22,D1/D2,9,2,7,0,7,0.7778,2.408
detection,two_one_one,D0D1D2,15,4,8,3,11,0.7333,2.578
action,tie22,A0/A4,6,2,2,2,4,0.6667,2.167
action,two_one_one,A0A4A5,6,2,4,0,4,0.6667,2.445
safety,tie22,SAFE/UNSAFE,12,5,7,0,7,0.5833,2.528
action,tie22,A4/A5,9,4,5,0,5,0.5556,2.778
action,two_one_one,A4A2A5,4,2,1,1,2,0.5,2.167
action,tie22,A0/A3,3,3,0,0,0,0.0,2.889
action,majority,A0/A3,1,1,0,0,0,0.0,2.333
action,majority,A0/A4,1,1,0,0,0,0.0,2.333
action,majority,A3/A0,1,1,0,0,0,0.0,2.333
action,unanimous,A1,1,1,0,0,0,0.0,3.0
action,unanimous,A2,1,1,0,0,0,0.0,2.333
action,unanimous,A3,1,1,0,0,0,0.0,3.0
action,unanimous,A5,1,1,0,0,0,0.0,3.0
detection,majority,D0/D1,1,1,0,0,0,0.0,3.0
detection,majority,D1/D2,1,1,0,0,0,0.0,3.0
detection,majority,D2/D3,1,1,0,0,0,0.0,2.667
detection,unanimous,D0,1,1,0,0,0,0.0,3.0
detection,unanimous,D2,1,1,0,0,0,0.0,2.667
detection,unanimous,D3,1,1,0,0,0,0.0,2.333
safety,majority,SAFE/UNSAFE,1,1,0,0,0,0.0,3.0
safety,majority,UNSAFE/SAFE,1,1,0,0,0,0.0,3.0
safety,unanimous,UNSAFE,1,1,0,0,0,0.0,2.667
